"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PCLOSE 
","LTP 
","CHNG 
","PercentageCHNG 
",VOLUME ,VALUE ,"52WH 
","52WL 
","365Dper CHNG 
 08Sep2021","30DperCHNG 
 08Aug2022"
NIFTY 50,"17,923.35","17,925.95","17,786.00","17,798.75","17,833.35",34.6,0.19,270299618,"2,05,63,89,96,740.90","18,604.45","15,183.40",2.67,1.7
TECHM,"1,102.65","1,132.35","1,086.25","1,089.60","1,127.00",37.4,3.43,3394349,"3,78,14,06,616.47","1,838.00",943.7,-21.39,6.77
ADANIPORTS,888.8,925,887,885.05,909,23.95,2.71,18369177,"16,73,00,95,336.29",925,651.95,20.96,14.71
INFY,"1,488.00","1,520.00","1,480.00","1,475.90","1,512.00",36.1,2.45,4816910,"7,22,23,78,515.80","1,953.90","1,367.15",-10.64,-5.67
INDUSINDBK,"1,119.00","1,149.55","1,116.55","1,108.30","1,134.00",25.7,2.32,4751837,"5,41,34,82,783.88","1,242.00",763.2,13.77,6.97
HCLTECH,939,953,934.3,931.05,950.1,19.05,2.05,2206526,"2,08,37,10,762.84","1,377.75",877.35,-20.86,-0.37
MARUTI,"8,834.65","8,989.00","8,730.00","8,790.65","8,953.00",162.35,1.85,632296,"5,60,30,91,004.00","9,233.65","6,536.55",31.52,0.75
TCS,"3,195.00","3,233.50","3,168.50","3,169.65","3,220.00",50.35,1.59,1561185,"4,99,78,21,540.50","4,043.00","2,953.00",-15.13,-4.07
ONGC,132.5,134.2,131.95,131.85,133.9,2.05,1.55,12327341,"1,64,49,60,383.04",194.95,117.5,9.7,0.15
HINDALCO,426,430.65,423.25,420.55,426.45,5.9,1.4,8000436,"3,41,85,06,298.44",636,308.95,-8.1,-3.2
EICHERMOT,"3,460.00","3,483.00","3,427.05","3,425.75","3,473.00",47.25,1.38,567370,"1,96,14,77,521.80","3,513.70","2,159.55",23.24,10.1
SBIN,549.65,557,548,544.65,551.95,7.3,1.34,18587927,"10,28,95,32,870.12",557,425,28,7.51
APOLLOHOSP,"4,436.90","4,474.90","4,415.00","4,414.80","4,459.05",44.25,1,476210,"2,12,03,58,359.70","5,935.40","3,361.55",-5.49,-1.26
WIPRO,417,419.45,411.35,412.8,416.9,4.1,0.99,7335671,"3,04,99,51,931.67",739.85,391,-37.02,-3.02
TATAMOTORS,447.5,449.65,440.6,442.2,446.5,4.3,0.97,14294289,"6,35,89,57,404.54",536.7,291.6,49.16,-6.23
DIVISLAB,"3,571.00","3,619.80","3,571.00","3,568.40","3,596.65",28.25,0.79,292875,"1,05,39,86,835.00","5,425.10","3,365.55",-28.72,-8.76
UPL,742,756.85,740.1,737.5,741.9,4.4,0.6,2659280,"1,98,89,28,697.60",848,607.5,-2.1,-3.04
AXISBANK,787.95,787.95,780,779.75,784,4.25,0.55,8732302,"6,84,68,23,352.16",866.9,618.25,-0.67,6.2
